Category Name (EN),Category Name (NL),Item Name (EN),Item Name (NL),Description (EN),Description (NL),Price (EUR),Add-on Price,Stock Status,Visibility,Image URL,Category Order,Item Order
Chicken Burgers Menu,Chicken Burgers Menu,Crispy Chicken Bel Menu,Crispy Chicken Bel Menu,,"Krokante kipfilet met huisgemaakte saus, sla en tomaat. Geserveerd met frietjes, drankje en saus.",15.00,Chaudfontaine Plat (€5.00) | V Cola Regular (€3.00) | Sariyer Cola 33cl (€3.00) | Palestine Cola (€3.00) | Capri-Sun Orange 0.2L (€3.00) | Sariyer Orange 33cl (€3.00),In Stock,Visible,,11,45
Chicken Burgers Menu,Chicken Burgers Menu,Spicy Chicken Bel Menu,Spicy Chicken Bel Menu,,"Krokante kipfilet met sla, tomaat, kaas en pittige saus. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,Chaudfontaine Plat (€3.00) | V Cola Regular (€3.00) | Sariyer Cola 33cl (€3.00) | Palestine Cola (€3.00) | Capri-Sun Orange 0.2L (€3.00) | Sariyer Orange 33cl (€3.00),In Stock,Visible,,11,46
Chicken Burgers Menu,Chicken Burgers Menu,BBQ Chicken Bel Menu,BBQ Chicken Bel Menu,,"Krokante kipfilet met sla, tomaat, kaas, uitjes en barbecuesaus. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,,In Stock,Visible,,11,47
Chicken Burgers Menu,Chicken Burgers Menu,Bel Honey Mustard Chicken Burger Menu,Bel Honey Mustard Chicken Burger Menu,,"Krokante kipfilet, sla, tomaat, kaas en honing-mosterdsaus. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,,In Stock,Visible,,11,48
Chicken Burgers Menu,Chicken Burgers Menu,Bel Sweet & Spicy Chicken Burger Menu,Bel Sweet & Spicy Chicken Burger Menu,,"Krokante kipfilet met sla, tomaat, kaas, chili jam en sriracha saus. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,,In Stock,Visible,,11,49
Chicken Burgers Menu,Chicken Burgers Menu,Bel Peri-Peri Chicken Burger Menu,Bel Peri-Peri Chicken Burger Menu,,"Krokante kipfilet met sla, tomaat, kaas en peri-peri saus. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,,In Stock,Visible,,11,50
Chicken Burgers Menu,Chicken Burgers Menu,Bel Jalapeno Chicken Menu,Bel Jalapeno Chicken Menu,,"Krokante kipfilet met sla, tomaat, jalapeño en pittige saus. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,,In Stock,Visible,,11,51
Chicken Burgers,Chicken Burgers,Crispy Chicken Bel,Crispy Chicken Bel,,"Krokante kipfilet met sla, tomaat, kaas en romige huisgemaakte saus.",9.60,,In Stock,Visible,,12,52
Chicken Burgers,Chicken Burgers,Spicy Chicken Bel,Spicy Chicken Bel,,"Krokante kipfilet met huisgemaakte scherpe saus, sla, tomaat en kaas.",9.60,,In Stock,Visible,,12,53
Chicken Burgers,Chicken Burgers,BBQ Chicken Bel,BBQ Chicken Bel,,"Krokante kipfilet met sla, tomaat, kaas, gebakken uitjes en barbecuesaus.",9.60,,In Stock,Visible,,12,54
Chicken Burgers,Chicken Burgers,Bel Honey Mustard Chicken Burger,Bel Honey Mustard Chicken Burger,,"Krokante kipfilet met sla, tomaat, kaas en honing-mosterdsaus.",9.60,,In Stock,Visible,,12,55
Chicken Burgers,Chicken Burgers,Bel Sweet & Spicy Chicken Burger,Bel Sweet & Spicy Chicken Burger,,"Krokante kipfilet met sla, tomaat, kaas, chili jam en sriracha saus.",9.60,,In Stock,Visible,,12,56
Chicken Burgers,Chicken Burgers,Bel Peri-Peri Chicken Burger,Bel Peri-Peri Chicken Burger,,"Krokante kipfilet met sla, tomaat, kaas en peri-peri saus.",9.60,,In Stock,Visible,,12,57
Chicken Burgers,Chicken Burgers,Bel Jalapeno Chicken,Bel Jalapeno Chicken,,Krokante kipfilet met jalapeño en huisgemaakte romige pittige saus.,9.60,,In Stock,Visible,,12,58
